                                                   LOG (TOTAL) [ERG/SEC/A]
               |-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
WAVELENGTH [A]    1Myr             2Myr           3Myr             4Myr           5Myr            6Myr             7Myr           8Myr             9Myr            10Myr            11Myr          12Myr           13Myr           14Myr           15Myr          16Myr           17Myr           18Myr           19Myr           20Myr           30Myr           40Myr           50Myr           60Myr           70Myr           80Myr           90Myr          100Myr           200Myr           300Myr         400Myr          500Myr          600Myr          700Myr          800Myr          900Myr
91.000000       25.330330       25.331290       36.674400       38.539520       38.733820       38.735550       38.735550       38.735550       38.735550       38.735550       38.735550       38.735550       38.735550       38.735550       38.735550       38.735550       38.735550       38.735550       38.735550       38.735550       38.735550       38.735550       38.735550       38.735550       38.735550       38.735550       38.735550       38.735550       38.735550       38.735550       38.735550       38.735550       38.735550       38.735550       38.735550       38.735550    
94.000000       25.732880       25.733980       36.764920       38.604370       38.798690       38.800480       38.800480       38.800480       38.800480       38.800480       38.800480       38.800480       38.800480       38.800480       38.800480       38.800480       38.800480       38.800480       38.800480       38.800480       38.800480       38.800480       38.800480       38.800480       38.800480       38.800480       38.800480       38.800480       38.800480       38.800480       38.800480       38.800480       38.800480       38.800480       38.800480       38.800480    
96.000000       26.114940       26.116210       36.827460       38.651370       38.845650       38.847460       38.847460       38.847460       38.847460       38.847460       38.847460       38.847460       38.847460       38.847460       38.847460       38.847460       38.847460       38.847460       38.847460       38.847460       38.847460       38.847460       38.847460       38.847460       38.847460       38.847460       38.847460       38.847460       38.847460       38.847460       38.847460       38.847460       38.847460       38.847460       38.847460       38.847460    
98.000000       26.345160       26.346520       36.883260       38.693350       38.887560       38.889410       38.889410       38.889410       38.889410       38.889410       38.889410       38.889410       38.889410       38.889410       38.889410       38.889410       38.889410       38.889410       38.889410       38.889410       38.889410       38.889410       38.889410       38.889410       38.889410       38.889410       38.889410       38.889410       38.889410       38.889410       38.889410       38.889410       38.889410       38.889410       38.889410       38.889410    
100.00000       26.604600       26.606090       36.929010       38.720940       38.915000       38.916880       38.916880       38.916880       38.916880       38.916880       38.916880       38.916880       38.916880       38.916880       38.916880       38.916880       38.916880       38.916880       38.916880       38.916880       38.916880       38.916880       38.916880       38.916880       38.916880       38.916880       38.916880       38.916880       38.916880       38.916880       38.916880       38.916880       38.916880       38.916880       38.916880       38.916880    
102.00000       26.923130       26.924790       36.964370       38.739150       38.933030       38.934940       38.934940       38.934940       38.934940       38.934940       38.934940       38.934940       38.934940       38.934940       38.934940       38.934940       38.934940       38.934940       38.934940       38.934940       38.934940       38.934940       38.934940       38.934940       38.934940       38.934940       38.934940       38.934940       38.934940       38.934940       38.934940       38.934940       38.934940       38.934940       38.934940       38.934940    
104.00000       27.148820       27.150610       36.981600       38.742580       38.936230       38.938170       38.938170       38.938170       38.938170       38.938170       38.938170       38.938170       38.938170       38.938170       38.938170       38.938170       38.938170       38.938170       38.938170       38.938170       38.938170       38.938170       38.938170       38.938170       38.938170       38.938170       38.938170       38.938170       38.938170       38.938170       38.938170       38.938170       38.938170       38.938170       38.938170       38.938170    
106.00000       27.367240       27.369170       36.999360       38.745780       38.939030       38.940980       38.940980       38.940980       38.940980       38.940980       38.940980       38.940980       38.940980       38.940980       38.940980       38.940980       38.940980       38.940980       38.940980       38.940980       38.940980       38.940980       38.940980       38.940980       38.940980       38.940980       38.940980       38.940980       38.940980       38.940980       38.940980       38.940980       38.940980       38.940980       38.940980       38.940980    
108.00000       27.615260       27.617350       37.015940       38.749170       38.942020       38.943990       38.943990       38.943990       38.943990       38.943990       38.943990       38.943990       38.943990       38.943990       38.943990       38.943990       38.943990       38.943990       38.943990       38.943990       38.943990       38.943990       38.943990       38.943990       38.943990       38.943990       38.943990       38.943990       38.943990       38.943990       38.943990       38.943990       38.943990       38.943990       38.943990       38.943990    
110.00000       27.925410       27.927720       37.031860       38.752520       38.945140       38.947120       38.947120       38.947120       38.947120       38.947120       38.947120       38.947120       38.947120       38.947120       38.947120       38.947120       38.947120       38.947120       38.947120       38.947120       38.947120       38.947120       38.947120       38.947120       38.947120       38.947120       38.947120       38.947120       38.947120       38.947120       38.947120       38.947120       38.947120       38.947120       38.947120       38.947120    
114.00000       28.306650       28.309270       37.064690       38.759370       38.951440       38.953470       38.953470       38.953470       38.953470       38.953470       38.953470       38.953470       38.953470       38.953470       38.953470       38.953470       38.953470       38.953470       38.953470       38.953470       38.953470       38.953470       38.953470       38.953470       38.953470       38.953470       38.953470       38.953470       38.953470       38.953470       38.953470       38.953470       38.953470       38.953470       38.953470       38.953470    
118.00000       28.683850       28.686820       37.097060       38.767300       38.958610       38.960690       38.960690       38.960690       38.960690       38.960690       38.960690       38.960690       38.960690       38.960690       38.960690       38.960690       38.960690       38.960690       38.960690       38.960690       38.960690       38.960690       38.960690       38.960690       38.960690       38.960690       38.960690       38.960690       38.960690       38.960690       38.960690       38.960690       38.960690       38.960690       38.960690       38.960690    
121.00000       29.019670       29.022950       37.120870       38.771690       38.962620       38.964730       38.964730       38.964730       38.964730       38.964730       38.964730       38.964730       38.964730       38.964730       38.964730       38.964730       38.964730       38.964730       38.964730       38.964730       38.964730       38.964730       38.964730       38.964730       38.964730       38.964730       38.964730       38.964730       38.964730       38.964730       38.964730       38.964730       38.964730       38.964730       38.964730       38.964730    
125.00000       29.326330       29.329960       37.154740       38.777950       38.968190       38.970340       38.970340       38.970340       38.970340       38.970340       38.970340       38.970340       38.970340       38.970340       38.970340       38.970340       38.970340       38.970340       38.970340       38.970340       38.970340       38.970340       38.970340       38.970340       38.970340       38.970340       38.970340       38.970340       38.970340       38.970340       38.970340       38.970340       38.970340       38.970340       38.970340       38.970340    
