                                             LOG (LUMINOSITY)
               |-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
WAVELENGTH [A]    1 Myr          2 Myr          3 Myr          4 Myr          5 Myr          6 Myr          7 Myr          8 Myr          9 Myr          10 Myr         11 Myr         12 Myr         13 Myr        14 Myr         15 Myr         16 Myr          17 Myr        18 Myr         19 Myr         20 Myr
1.21825e+03    3.87302e+01    3.90192e+01    3.91975e+01    3.93269e+01    3.94377e+01    3.95586e+01    3.96538e+01    3.97199e+01    3.97689e+01    3.98063e+01    3.98344e+01    3.98568e+01    3.98752e+01    3.98901e+01    3.99021e+01    3.99115e+01    3.99196e+01    3.99264e+01    3.99323e+01    3.99374e+01    
1.21900e+03    3.87946e+01    3.90809e+01    3.92581e+01    3.93893e+01    3.94985e+01    3.96200e+01    3.97154e+01    3.97817e+01    3.98306e+01    3.98680e+01    3.98964e+01    3.99190e+01    3.99376e+01    3.99527e+01    3.99650e+01    3.99746e+01    3.99830e+01    3.99901e+01    3.99963e+01    4.00016e+01    
1.21975e+03    3.88669e+01    3.91543e+01    3.93314e+01    3.94605e+01    3.95677e+01    3.96862e+01    3.97789e+01    3.98433e+01    3.98909e+01    3.99274e+01    3.99553e+01    3.99776e+01    3.99960e+01    4.00110e+01    4.00233e+01    4.00330e+01    4.00416e+01    4.00488e+01    4.00551e+01    4.00606e+01    
1.22050e+03    3.89320e+01    3.92206e+01    3.93983e+01    3.95270e+01    3.96331e+01    3.97477e+01    3.98369e+01    3.98989e+01    3.99449e+01    3.99802e+01    4.00075e+01    4.00292e+01    4.00473e+01    4.00621e+01    4.00743e+01    4.00841e+01    4.00926e+01    4.01000e+01    4.01064e+01    4.01121e+01    
1.22125e+03    3.89809e+01    3.92701e+01    3.94492e+01    3.95808e+01    3.96887e+01    3.98013e+01    3.98879e+01    3.99478e+01    3.99924e+01    4.00269e+01    4.00536e+01    4.00750e+01    4.00929e+01    4.01076e+01    4.01198e+01    4.01297e+01    4.01385e+01    4.01460e+01    4.01526e+01    4.01584e+01    
1.22200e+03    3.90005e+01    3.92875e+01    3.94652e+01    3.95977e+01    3.97070e+01    3.98222e+01    3.99104e+01    3.99711e+01    4.00164e+01    4.00513e+01    4.00785e+01    4.01002e+01    4.01184e+01    4.01334e+01    4.01460e+01    4.01563e+01    4.01654e+01    4.01732e+01    4.01801e+01    4.01862e+01    
1.22275e+03    3.90479e+01    3.93370e+01    3.95166e+01    3.96480e+01    3.97556e+01    3.98653e+01    3.99492e+01    4.00073e+01    4.00509e+01    4.00846e+01    4.01110e+01    4.01322e+01    4.01500e+01    4.01647e+01    4.01771e+01    4.01872e+01    4.01963e+01    4.02041e+01    4.02109e+01    4.02170e+01    
1.22350e+03    3.90819e+01    3.93728e+01    3.95540e+01    3.96857e+01    3.97951e+01    3.99015e+01    3.99814e+01    4.00367e+01    4.00784e+01    4.01108e+01    4.01364e+01    4.01569e+01    4.01742e+01    4.01886e+01    4.02007e+01    4.02108e+01    4.02197e+01    4.02275e+01    4.02343e+01    4.02404e+01    
1.22425e+03    3.90939e+01    3.93846e+01    3.95658e+01    3.96992e+01    3.98108e+01    3.99176e+01    3.99963e+01    4.00503e+01    4.00912e+01    4.01231e+01    4.01482e+01    4.01686e+01    4.01857e+01    4.02000e+01    4.02121e+01    4.02222e+01    4.02313e+01    4.02391e+01    4.02460e+01    4.02523e+01    
1.22500e+03    3.91048e+01    3.93956e+01    3.95775e+01    3.97123e+01    3.98244e+01    3.99295e+01    4.00061e+01    4.00585e+01    4.00983e+01    4.01293e+01    4.01539e+01    4.01738e+01    4.01906e+01    4.02047e+01    4.02167e+01    4.02267e+01    4.02357e+01    4.02436e+01    4.02505e+01    4.02568e+01    
1.22575e+03    3.91010e+01    3.93920e+01    3.95737e+01    3.97076e+01    3.98186e+01    3.99237e+01    4.00006e+01    4.00534e+01    4.00933e+01    4.01245e+01    4.01493e+01    4.01692e+01    4.01862e+01    4.02004e+01    4.02125e+01    4.02228e+01    4.02319e+01    4.02400e+01    4.02471e+01    4.02535e+01    
1.22650e+03    3.91080e+01    3.93993e+01    3.95820e+01    3.97174e+01    3.98297e+01    3.99339e+01    4.00096e+01    4.00614e+01    4.01006e+01    4.01313e+01    4.01557e+01    4.01754e+01    4.01921e+01    4.02062e+01    4.02182e+01    4.02284e+01    4.02376e+01    4.02457e+01    4.02528e+01    4.02592e+01    
1.22725e+03    3.91043e+01    3.93957e+01    3.95784e+01    3.97129e+01    3.98252e+01    3.99300e+01    4.00065e+01    4.00590e+01    4.00988e+01    4.01299e+01    4.01547e+01    4.01748e+01    4.01918e+01    4.02062e+01    4.02185e+01    4.02289e+01    4.02383e+01    4.02466e+01    4.02539e+01    4.02605e+01    
1.22800e+03    3.91056e+01    3.93974e+01    3.95805e+01    3.97155e+01    3.98291e+01    3.99337e+01    4.00099e+01    4.00624e+01    4.01022e+01    4.01335e+01    4.01584e+01    4.01786e+01    4.01959e+01    4.02104e+01    4.02228e+01    4.02334e+01    4.02430e+01    4.02514e+01    4.02588e+01    4.02655e+01    
1.22875e+03    3.91113e+01    3.94023e+01    3.95847e+01    3.97207e+01    3.98354e+01    3.99408e+01    4.00164e+01    4.00684e+01    4.01079e+01    4.01390e+01    4.01638e+01    4.01841e+01    4.02013e+01    4.02159e+01    4.02284e+01    4.02390e+01    4.02486e+01    4.02571e+01    4.02646e+01    4.02714e+01    
1.22950e+03    3.91091e+01    3.94004e+01    3.95829e+01    3.97183e+01    3.98324e+01    3.99373e+01    4.00133e+01    4.00656e+01    4.01057e+01    4.01373e+01    4.01625e+01    4.01831e+01    4.02007e+01    4.02156e+01    4.02285e+01    4.02394e+01    4.02493e+01    4.02581e+01    4.02659e+01    4.02729e+01    
1.23025e+03    3.91171e+01    3.94096e+01    3.95919e+01    3.97252e+01    3.98375e+01    3.99410e+01    4.00162e+01    4.00682e+01    4.01083e+01    4.01399e+01    4.01651e+01    4.01859e+01    4.02037e+01    4.02188e+01    4.02318e+01    4.02429e+01    4.02529e+01    4.02618e+01    4.02698e+01    4.02770e+01    
1.23100e+03    3.91297e+01    3.94218e+01    3.96048e+01    3.97390e+01    3.98541e+01    3.99568e+01    4.00300e+01    4.00804e+01    4.01194e+01    4.01503e+01    4.01751e+01    4.01954e+01    4.02129e+01    4.02278e+01    4.02407e+01    4.02516e+01    4.02616e+01    4.02704e+01    4.02783e+01    4.02854e+01    
1.23175e+03    3.91471e+01    3.94408e+01    3.96244e+01    3.97576e+01    3.98718e+01    3.99718e+01    4.00427e+01    4.00916e+01    4.01295e+01    4.01597e+01    4.01839e+01    4.02038e+01    4.02210e+01    4.02357e+01    4.02484e+01    4.02593e+01    4.02692e+01    4.02779e+01    4.02858e+01    4.02929e+01    
1.23250e+03    3.91302e+01    3.94222e+01    3.96052e+01    3.97390e+01    3.98547e+01    3.99567e+01    4.00294e+01    4.00795e+01    4.01184e+01    4.01492e+01    4.01739e+01    4.01943e+01    4.02119e+01    4.02269e+01    4.02400e+01    4.02511e+01    4.02613e+01    4.02704e+01    4.02785e+01    4.02859e+01    
1.23325e+03    3.91209e+01    3.94121e+01    3.95943e+01    3.97287e+01    3.98428e+01    3.99455e+01    4.00190e+01    4.00699e+01    4.01096e+01    4.01410e+01    4.01661e+01    4.01870e+01    4.02050e+01    4.02204e+01    4.02339e+01    4.02454e+01    4.02560e+01    4.02654e+01    4.02738e+01    4.02815e+01    
1.23400e+03    3.91320e+01    3.94239e+01    3.96063e+01    3.97398e+01    3.98539e+01    3.99551e+01    4.00275e+01    4.00777e+01    4.01172e+01    4.01485e+01    4.01735e+01    4.01944e+01    4.02125e+01    4.02280e+01    4.02416e+01    4.02533e+01    4.02640e+01    4.02735e+01    4.02820e+01    4.02898e+01    
1.23475e+03    3.91482e+01    3.94414e+01    3.96247e+01    3.97571e+01    3.98702e+01    3.99695e+01    4.00404e+01    4.00900e+01    4.01294e+01    4.01605e+01    4.01855e+01    4.02065e+01    4.02247e+01    4.02403e+01    4.02539e+01    4.02657e+01    4.02764e+01    4.02860e+01    4.02946e+01    4.03025e+01    
1.23550e+03    3.91384e+01    3.94305e+01    3.96125e+01    3.97444e+01    3.98558e+01    3.99564e+01    4.00292e+01    4.00800e+01    4.01199e+01    4.01515e+01    4.01770e+01    4.01983e+01    4.02167e+01    4.02325e+01    4.02464e+01    4.02584e+01    4.02694e+01    4.02792e+01    4.02880e+01    4.02960e+01    
1.23625e+03    3.91279e+01    3.94185e+01    3.95991e+01    3.97311e+01    3.98425e+01    3.99456e+01    4.00202e+01    4.00720e+01    4.01123e+01    4.01442e+01    4.01700e+01    4.01914e+01    4.02100e+01    4.02260e+01    4.02400e+01    4.02522e+01    4.02634e+01    4.02733e+01    4.02823e+01    4.02905e+01    
