                                             LOG (LUMINOSITY)
               |-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
WAVELENGTH [A]    1 Myr          2 Myr          3 Myr          4 Myr          5 Myr          6 Myr          7 Myr          8 Myr          9 Myr          10 Myr         11 Myr         12 Myr         13 Myr        14 Myr         15 Myr         16 Myr          17 Myr        18 Myr         19 Myr         20 Myr
1.20550e+03    3.92606e+01    3.95568e+01    3.97582e+01    3.98900e+01    3.99701e+01    4.00347e+01    4.00807e+01    4.01137e+01    4.01395e+01    4.01596e+01    4.01755e+01    4.01882e+01    4.01987e+01    4.02074e+01    4.02146e+01    4.02204e+01    4.02256e+01    4.02299e+01    4.02336e+01    4.02368e+01    
1.20625e+03    3.91567e+01    3.94523e+01    3.96499e+01    3.97691e+01    3.98501e+01    3.99235e+01    3.99781e+01    4.00179e+01    4.00483e+01    4.00719e+01    4.00904e+01    4.01051e+01    4.01173e+01    4.01271e+01    4.01352e+01    4.01416e+01    4.01472e+01    4.01519e+01    4.01559e+01    4.01594e+01    
1.20700e+03    3.92497e+01    3.95508e+01    3.97665e+01    3.98947e+01    3.99709e+01    4.00297e+01    4.00718e+01    4.01024e+01    4.01261e+01    4.01448e+01    4.01596e+01    4.01714e+01    4.01812e+01    4.01892e+01    4.01957e+01    4.02010e+01    4.02055e+01    4.02093e+01    4.02126e+01    4.02154e+01    
1.20775e+03    3.92281e+01    3.95368e+01    3.97432e+01    3.98686e+01    3.99468e+01    4.00060e+01    4.00482e+01    4.00787e+01    4.01022e+01    4.01209e+01    4.01356e+01    4.01474e+01    4.01571e+01    4.01651e+01    4.01715e+01    4.01767e+01    4.01812e+01    4.01850e+01    4.01883e+01    4.01911e+01    
1.20850e+03    3.91670e+01    3.94494e+01    3.96577e+01    3.97914e+01    3.98739e+01    3.99386e+01    3.99850e+01    4.00186e+01    4.00447e+01    4.00652e+01    4.00813e+01    4.00943e+01    4.01050e+01    4.01138e+01    4.01209e+01    4.01266e+01    4.01316e+01    4.01357e+01    4.01393e+01    4.01424e+01    
1.20925e+03    3.90488e+01    3.96841e+01    3.99756e+01    4.00264e+01    4.00665e+01    4.01042e+01    4.01337e+01    4.01561e+01    4.01740e+01    4.01883e+01    4.01998e+01    4.02092e+01    4.02170e+01    4.02234e+01    4.02287e+01    4.02330e+01    4.02366e+01    4.02398e+01    4.02424e+01    4.02448e+01    
1.21000e+03    3.89928e+01    3.92881e+01    3.94874e+01    3.96180e+01    3.97009e+01    3.97741e+01    3.98285e+01    3.98682e+01    3.98992e+01    3.99235e+01    3.99426e+01    3.99580e+01    3.99709e+01    3.99814e+01    3.99899e+01    3.99968e+01    4.00027e+01    4.00077e+01    4.00120e+01    4.00158e+01    
1.21075e+03    3.90862e+01    3.93898e+01    3.95586e+01    3.96575e+01    3.97346e+01    3.97991e+01    3.98455e+01    3.98792e+01    3.99058e+01    3.99269e+01    3.99436e+01    3.99572e+01    3.99686e+01    3.99779e+01    3.99856e+01    3.99918e+01    3.99972e+01    4.00017e+01    4.00057e+01    4.00091e+01    
1.21150e+03    3.88500e+01    3.91382e+01    3.93210e+01    3.94386e+01    3.95264e+01    3.96064e+01    3.96660e+01    3.97094e+01    3.97430e+01    3.97694e+01    3.97900e+01    3.98068e+01    3.98208e+01    3.98322e+01    3.98416e+01    3.98491e+01    3.98557e+01    3.98613e+01    3.98661e+01    3.98704e+01    
1.21225e+03    3.88791e+01    3.91835e+01    3.93711e+01    3.94811e+01    3.95523e+01    3.96163e+01    3.96656e+01    3.97024e+01    3.97314e+01    3.97543e+01    3.97725e+01    3.97874e+01    3.97999e+01    3.98102e+01    3.98187e+01    3.98256e+01    3.98316e+01    3.98368e+01    3.98414e+01    3.98454e+01    
1.21300e+03    3.88537e+01    3.92162e+01    3.93971e+01    3.94678e+01    3.95290e+01    3.95857e+01    3.96301e+01    3.96638e+01    3.96904e+01    3.97115e+01    3.97282e+01    3.97420e+01    3.97535e+01    3.97631e+01    3.97711e+01    3.97775e+01    3.97833e+01    3.97883e+01    3.97926e+01    3.97965e+01    
1.21375e+03    3.86925e+01    3.89715e+01    3.91433e+01    3.92420e+01    3.93219e+01    3.94014e+01    3.94587e+01    3.95007e+01    3.95332e+01    3.95586e+01    3.95785e+01    3.95947e+01    3.96082e+01    3.96193e+01    3.96286e+01    3.96362e+01    3.96430e+01    3.96488e+01    3.96539e+01    3.96585e+01    
1.21450e+03    3.86836e+01    3.89713e+01    3.91413e+01    3.92321e+01    3.93104e+01    3.93833e+01    3.94399e+01    3.94822e+01    3.95149e+01    3.95404e+01    3.95603e+01    3.95764e+01    3.95899e+01    3.96009e+01    3.96101e+01    3.96176e+01    3.96242e+01    3.96299e+01    3.96349e+01    3.96394e+01    
1.21525e+03    3.86053e+01    3.88846e+01    3.90666e+01    3.93011e+01    3.93624e+01    3.94292e+01    3.94838e+01    3.95251e+01    3.95571e+01    3.95822e+01    3.96016e+01    3.96173e+01    3.96304e+01    3.96412e+01    3.96499e+01    3.96570e+01    3.96632e+01    3.96685e+01    3.96731e+01    3.96773e+01    
1.21600e+03    3.87074e+01    3.90297e+01    3.92484e+01    3.93361e+01    3.93995e+01    3.94688e+01    3.95255e+01    3.95684e+01    3.96015e+01    3.96275e+01    3.96473e+01    3.96634e+01    3.96769e+01    3.96877e+01    3.96965e+01    3.97034e+01    3.97094e+01    3.97146e+01    3.97190e+01    3.97229e+01    
1.21675e+03    3.87106e+01    3.89886e+01    3.91666e+01    3.92766e+01    3.93637e+01    3.94570e+01    3.95302e+01    3.95837e+01    3.96240e+01    3.96553e+01    3.96790e+01    3.96979e+01    3.97136e+01    3.97262e+01    3.97362e+01    3.97441e+01    3.97509e+01    3.97566e+01    3.97615e+01    3.97659e+01    
