  1.1910000E+07  0.4580000      0.3750000      0.4580000    
  1.2010000E+07  0.4560000      0.3730000      0.4560000    
  1.2110000E+07  0.4400000      0.3580000      0.4400000    
  1.2210000E+07  0.4370000      0.3540000      0.4370000    
  1.2310000E+07  0.4260000      0.3450000      0.4260000    
  1.2410000E+07  0.4170000      0.3350000      0.4170000    
  1.2510000E+07  0.4090000      0.3270000      0.4090000    
  1.2610000E+07  0.3940000      0.3130000      0.3940000    
  1.2710000E+07  0.3890000      0.3060000      0.3890000    
  1.2810000E+07  0.3740000      0.2930000      0.3740000    
  1.2910000E+07  0.3710000      0.2880000      0.3710000    
  1.3010000E+07  0.3590000      0.2760000      0.3590000    
  1.3110000E+07  0.3510000      0.2680000      0.3510000    
  1.3210000E+07  0.3340000      0.2500000      0.3340000    
  1.3310000E+07  0.3230000      0.2380000      0.3230000    
  1.3410000E+07  0.3030000      0.2190000      0.3030000    
  1.3510000E+07  0.2850000      0.2000000      0.2850000    
  1.3610000E+07  0.1970000      0.1180000      0.1970000    
  1.3710000E+07  0.2040000      0.1210000      0.2040000    
  1.3810000E+07  0.1960000      0.1130000      0.1960000    
  1.3910000E+07  0.2010000      0.1170000      0.2010000    
  1.4010000E+07  0.1970000      0.1130000      0.1970000    
  1.4110000E+07  0.1950000      0.1090000      0.1950000    
  1.4210000E+07  0.1860000      9.7999997E-02  0.1860000    
  1.4310000E+07  0.1910000      0.1020000      0.1910000    
  1.4410000E+07  0.1940000      0.1020000      0.1940000    
  1.4510000E+07  0.1860000      9.3999997E-02  0.1860000    
  1.4610000E+07  0.1890000      9.4999999E-02  0.1890000    
  1.4710000E+07  0.1830000      8.9000002E-02  0.1830000    
  1.4810000E+07  0.1780000      8.2999997E-02  0.1780000    
  1.4910000E+07  0.1910000      9.0000004E-02  0.1910000    
  1.5010000E+07  0.1830000      8.3999999E-02  0.1830000    
  1.5110000E+07  0.1730000      7.1000002E-02  0.1730000    
  1.5210000E+07  0.1640000      6.3000001E-02  0.1640000    
  1.5310000E+07  0.1490000      4.8999999E-02  0.1490000    
  1.5410000E+07  0.1380000      4.1000001E-02  0.1380000    
  1.5510000E+07  0.1150000      1.7999999E-02  0.1150000    
  1.5610000E+07  0.1060000      8.9999996E-03  0.1060000    
  1.5710000E+07  9.3999997E-02 -2.0000001E-03  9.3999997E-02
  1.5810000E+07  6.8999998E-02 -2.7000001E-02  6.8999998E-02
  1.5910000E+07  5.0000001E-02 -4.6000000E-02  5.0000001E-02
