                                             LOG (LUMINOSITY)
               |-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
WAVELENGTH [A]    1 Myr          2 Myr          3 Myr          4 Myr          5 Myr          6 Myr          7 Myr          8 Myr          9 Myr          10 Myr         11 Myr         12 Myr         13 Myr        14 Myr         15 Myr         16 Myr          17 Myr        18 Myr         19 Myr         20 Myr
1.20550e+03    3.83782e+01    3.84123e+01    3.84807e+01    3.84422e+01    3.84353e+01    3.84290e+01    3.83686e+01    3.83176e+01    3.82649e+01    3.81981e+01    3.81497e+01    3.80935e+01    3.80400e+01    3.79870e+01    3.79258e+01    3.78793e+01    3.78420e+01    3.77774e+01    3.77398e+01    3.76932e+01    
1.20625e+03    3.83024e+01    3.83266e+01    3.83854e+01    3.83312e+01    3.83641e+01    3.83871e+01    3.83488e+01    3.82957e+01    3.82433e+01    3.81783e+01    3.81279e+01    3.80714e+01    3.80147e+01    3.79584e+01    3.78903e+01    3.78398e+01    3.78017e+01    3.77341e+01    3.76958e+01    3.76481e+01    
1.20700e+03    3.83505e+01    3.83935e+01    3.84594e+01    3.84176e+01    3.83938e+01    3.83813e+01    3.83255e+01    3.82687e+01    3.82154e+01    3.81518e+01    3.81002e+01    3.80431e+01    3.79845e+01    3.79276e+01    3.78573e+01    3.78053e+01    3.77674e+01    3.76994e+01    3.76618e+01    3.76142e+01    
1.20775e+03    3.83301e+01    3.83772e+01    3.84257e+01    3.84019e+01    3.83768e+01    3.83602e+01    3.83001e+01    3.82422e+01    3.81882e+01    3.81254e+01    3.80733e+01    3.80161e+01    3.79565e+01    3.78995e+01    3.78286e+01    3.77759e+01    3.77383e+01    3.76702e+01    3.76335e+01    3.75862e+01    
1.20850e+03    3.82816e+01    3.83069e+01    3.83940e+01    3.83527e+01    3.83412e+01    3.83364e+01    3.82806e+01    3.82267e+01    3.81750e+01    3.81103e+01    3.80605e+01    3.80050e+01    3.79470e+01    3.78900e+01    3.78187e+01    3.77664e+01    3.77280e+01    3.76588e+01    3.76220e+01    3.75744e+01    
1.20925e+03    3.82175e+01    3.86020e+01    3.83011e+01    3.82601e+01    3.82865e+01    3.82961e+01    3.82479e+01    3.81975e+01    3.81485e+01    3.80830e+01    3.80355e+01    3.79824e+01    3.79259e+01    3.78695e+01    3.77982e+01    3.77466e+01    3.77090e+01    3.76396e+01    3.76037e+01    3.75573e+01    
1.21000e+03    3.81625e+01    3.81939e+01    3.82545e+01    3.82051e+01    3.82319e+01    3.82485e+01    3.82040e+01    3.81565e+01    3.81106e+01    3.80449e+01    3.80001e+01    3.79501e+01    3.78951e+01    3.78394e+01    3.77683e+01    3.77174e+01    3.76816e+01    3.76127e+01    3.75783e+01    3.75339e+01    
1.21075e+03    3.81786e+01    3.82014e+01    3.81915e+01    3.81942e+01    3.82076e+01    3.82083e+01    3.81502e+01    3.81012e+01    3.80557e+01    3.79913e+01    3.79470e+01    3.78978e+01    3.78441e+01    3.77897e+01    3.77206e+01    3.76710e+01    3.76368e+01    3.75692e+01    3.75360e+01    3.74932e+01    
1.21150e+03    3.80229e+01    3.80464e+01    3.80835e+01    3.80545e+01    3.80976e+01    3.81245e+01    3.80859e+01    3.80392e+01    3.79945e+01    3.79310e+01    3.78877e+01    3.78398e+01    3.77876e+01    3.77348e+01    3.76678e+01    3.76199e+01    3.75878e+01    3.75222e+01    3.74903e+01    3.74492e+01    
1.21225e+03    3.80032e+01    3.80431e+01    3.80403e+01    3.80069e+01    3.80354e+01    3.80493e+01    3.80144e+01    3.79693e+01    3.79263e+01    3.78629e+01    3.78213e+01    3.77755e+01    3.77254e+01    3.76746e+01    3.76103e+01    3.75647e+01    3.75354e+01    3.74729e+01    3.74426e+01    3.74038e+01    
1.21300e+03    3.79471e+01    3.80372e+01    3.79036e+01    3.79259e+01    3.79518e+01    3.79711e+01    3.79400e+01    3.78938e+01    3.78498e+01    3.77865e+01    3.77446e+01    3.76988e+01    3.76498e+01    3.76012e+01    3.75408e+01    3.74972e+01    3.74698e+01    3.74107e+01    3.73816e+01    3.73442e+01    
1.21375e+03    3.78240e+01    3.78310e+01    3.78399e+01    3.77935e+01    3.78804e+01    3.79092e+01    3.78692e+01    3.78207e+01    3.77754e+01    3.77116e+01    3.76684e+01    3.76220e+01    3.75739e+01    3.75273e+01    3.74711e+01    3.74290e+01    3.74029e+01    3.73478e+01    3.73194e+01    3.72830e+01    
1.21450e+03    3.78056e+01    3.78093e+01    3.78136e+01    3.77539e+01    3.78550e+01    3.78713e+01    3.78514e+01    3.78008e+01    3.77574e+01    3.76912e+01    3.76457e+01    3.75992e+01    3.75518e+01    3.75033e+01    3.74455e+01    3.74010e+01    3.73745e+01    3.73206e+01    3.72909e+01    3.72533e+01    
1.21525e+03    3.77574e+01    3.77697e+01    3.78952e+01    3.78264e+01    3.78323e+01    3.78945e+01    3.78803e+01    3.78287e+01    3.77879e+01    3.77188e+01    3.76706e+01    3.76238e+01    3.75753e+01    3.75226e+01    3.74588e+01    3.74093e+01    3.73802e+01    3.73255e+01    3.72938e+01    3.72539e+01    
1.21600e+03    3.78299e+01    3.78963e+01    3.78949e+01    3.78047e+01    3.78863e+01    3.79478e+01    3.79350e+01    3.78822e+01    3.78438e+01    3.77720e+01    3.77215e+01    3.76742e+01    3.76238e+01    3.75664e+01    3.74949e+01    3.74396e+01    3.74070e+01    3.73501e+01    3.73162e+01    3.72734e+01    
1.21675e+03    3.78825e+01    3.78890e+01    3.79129e+01    3.78794e+01    3.79853e+01    3.80489e+01    3.80370e+01    3.79823e+01    3.79430e+01    3.78717e+01    3.78190e+01    3.77699e+01    3.77186e+01    3.76590e+01    3.75837e+01    3.75251e+01    3.74889e+01    3.74286e+01    3.73931e+01    3.73470e+01    
1.21750e+03    3.79628e+01    3.79707e+01    3.79907e+01    3.80111e+01    3.80800e+01    3.81388e+01    3.81238e+01    3.80710e+01    3.80313e+01    3.79608e+01    3.79093e+01    3.78599e+01    3.78095e+01    3.77506e+01    3.76761e+01    3.76186e+01    3.75817e+01    3.75197e+01    3.74843e+01    3.74376e+01    
1.21825e+03    3.80566e+01    3.80735e+01    3.80917e+01    3.80938e+01    3.81742e+01    3.82197e+01    3.81982e+01    3.81471e+01    3.81073e+01    3.80379e+01    3.79881e+01    3.79391e+01    3.78898e+01    3.78323e+01    3.77599e+01    3.77044e+01    3.76679e+01    3.76052e+01    3.75703e+01    3.75241e+01    
1.21900e+03    3.81203e+01    3.81255e+01    3.81447e+01    3.81603e+01    3.82345e+01    3.82851e+01    3.82620e+01    3.82117e+01    3.81711e+01    3.81048e+01    3.80564e+01    3.80079e+01    3.79594e+01    3.79040e+01    3.78346e+01    3.77817e+01    3.77473e+01    3.76851e+01    3.76516e+01    3.76074e+01    
1.21975e+03    3.81794e+01    3.81925e+01    3.82223e+01    3.82011e+01    3.82966e+01    3.83399e+01    3.83138e+01    3.82636e+01    3.82218e+01    3.81586e+01    3.81112e+01    3.80629e+01    3.80154e+01    3.79622e+01    3.78961e+01    3.78456e+01    3.78130e+01    3.77521e+01    3.77204e+01    3.76783e+01    
1.22050e+03    3.82486e+01    3.82698e+01    3.82961e+01    3.82869e+01    3.83530e+01    3.83859e+01    3.83561e+01    3.83056e+01    3.82625e+01    3.82022e+01    3.81557e+01    3.81075e+01    3.80611e+01    3.80104e+01    3.79480e+01    3.79000e+01    3.78688e+01    3.78100e+01    3.77804e+01    3.77405e+01    
1.22125e+03    3.83160e+01    3.83453e+01    3.83623e+01    3.83635e+01    3.84066e+01    3.84303e+01    3.83942e+01    3.83445e+01    3.83012e+01    3.82427e+01    3.81978e+01    3.81504e+01    3.81060e+01    3.80578e+01    3.79995e+01    3.79544e+01    3.79243e+01    3.78678e+01    3.78398e+01    3.78020e+01    
1.22200e+03    3.83434e+01    3.83646e+01    3.84047e+01    3.84167e+01    3.84393e+01    3.84640e+01    3.84251e+01    3.83766e+01    3.83333e+01    3.82763e+01    3.82328e+01    3.81861e+01    3.81433e+01    3.80970e+01    3.80418e+01    3.79989e+01    3.79698e+01    3.79150e+01    3.78880e+01    3.78518e+01    
1.22275e+03    3.83768e+01    3.84001e+01    3.84542e+01    3.84293e+01    3.84703e+01    3.84847e+01    3.84452e+01    3.83973e+01    3.83540e+01    3.82988e+01    3.82560e+01    3.82097e+01    3.81679e+01    3.81227e+01    3.80691e+01    3.80275e+01    3.79996e+01    3.79458e+01    3.79193e+01    3.78842e+01    
1.22350e+03    3.84288e+01    3.84600e+01    3.85130e+01    3.84819e+01    3.85022e+01    3.85031e+01    3.84570e+01    3.84094e+01    3.83661e+01    3.83121e+01    3.82702e+01    3.82246e+01    3.81838e+01    3.81399e+01    3.80886e+01    3.80486e+01    3.80220e+01    3.79696e+01    3.79440e+01    3.79100e+01    
1.22425e+03    3.84494e+01    3.84810e+01    3.85333e+01    3.85182e+01    3.85207e+01    3.85182e+01    3.84642e+01    3.84166e+01    3.83733e+01    3.83203e+01    3.82794e+01    3.82345e+01    3.81946e+01    3.81523e+01    3.81034e+01    3.80649e+01    3.80397e+01    3.79889e+01    3.79642e+01    3.79315e+01    
1.22500e+03    3.84646e+01    3.84975e+01    3.85580e+01    3.85373e+01    3.85307e+01    3.85204e+01    3.84617e+01    3.84140e+01    3.83699e+01    3.83177e+01    3.82777e+01    3.82330e+01    3.81935e+01    3.81528e+01    3.81060e+01    3.80690e+01    3.80446e+01    3.79950e+01    3.79711e+01    3.79394e+01    
1.22575e+03    3.84627e+01    3.85017e+01    3.85529e+01    3.85192e+01    3.85246e+01    3.85171e+01    3.84599e+01    3.84128e+01    3.83682e+01    3.83167e+01    3.82772e+01    3.82327e+01    3.81939e+01    3.81545e+01    3.81095e+01    3.80737e+01    3.80501e+01    3.80015e+01    3.79783e+01    3.79472e+01    
1.22650e+03    3.84715e+01    3.85251e+01    3.85804e+01    3.85480e+01    3.85348e+01    3.85211e+01    3.84607e+01    3.84131e+01    3.83684e+01    3.83176e+01    3.82781e+01    3.82337e+01    3.81960e+01    3.81575e+01    3.81139e+01    3.80789e+01    3.80562e+01    3.80086e+01    3.79857e+01    3.79549e+01    
1.22725e+03    3.84604e+01    3.85159e+01    3.85730e+01    3.85492e+01    3.85333e+01    3.85228e+01    3.84659e+01    3.84189e+01    3.83752e+01    3.83255e+01    3.82865e+01    3.82429e+01    3.82064e+01    3.81684e+01    3.81256e+01    3.80913e+01    3.80696e+01    3.80227e+01    3.80001e+01    3.79699e+01    
1.22800e+03    3.84707e+01    3.85119e+01    3.85801e+01    3.85547e+01    3.85424e+01    3.85267e+01    3.84714e+01    3.84249e+01    3.83825e+01    3.83338e+01    3.82954e+01    3.82528e+01    3.82173e+01    3.81796e+01    3.81374e+01    3.81035e+01    3.80828e+01    3.80368e+01    3.80144e+01    3.79851e+01    
1.22875e+03    3.84752e+01    3.85058e+01    3.85700e+01    3.85599e+01    3.85508e+01    3.85364e+01    3.84761e+01    3.84294e+01    3.83885e+01    3.83405e+01    3.83028e+01    3.82616e+01    3.82264e+01    3.81889e+01    3.81471e+01    3.81134e+01    3.80938e+01    3.80487e+01    3.80268e+01    3.79987e+01    
1.22950e+03    3.84715e+01    3.84955e+01    3.85536e+01    3.85575e+01    3.85482e+01    3.85369e+01    3.84785e+01    3.84342e+01    3.83956e+01    3.83469e+01    3.83106e+01    3.82710e+01    3.82381e+01    3.82016e+01    3.81611e+01    3.81283e+01    3.81093e+01    3.80654e+01    3.80440e+01    3.80164e+01    
1.23025e+03    3.84814e+01    3.84970e+01    3.85399e+01    3.85502e+01    3.85501e+01    3.85371e+01    3.84806e+01    3.84378e+01    3.84008e+01    3.83520e+01    3.83167e+01    3.82784e+01    3.82472e+01    3.82114e+01    3.81718e+01    3.81396e+01    3.81213e+01    3.80782e+01    3.80573e+01    3.80302e+01    
1.23100e+03    3.84932e+01    3.85201e+01    3.85609e+01    3.85636e+01    3.85627e+01    3.85450e+01    3.84821e+01    3.84390e+01    3.84026e+01    3.83549e+01    3.83198e+01    3.82821e+01    3.82512e+01    3.82157e+01    3.81763e+01    3.81442e+01    3.81266e+01    3.80840e+01    3.80635e+01    3.80371e+01    
