                                             LOG (LUMINOSITY)
               |-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
WAVELENGTH [A]    1 Myr          2 Myr          3 Myr          4 Myr          5 Myr          6 Myr          7 Myr          8 Myr          9 Myr          10 Myr         11 Myr         12 Myr         13 Myr        14 Myr         15 Myr         16 Myr          17 Myr        18 Myr         19 Myr         20 Myr          30Myr          40Myr          50Myr           60Myr         70Myr           80Myr         90Myr           100Myr
1.01600e+03    3.88044e+01    3.88540e+01    3.88855e+01    3.88122e+01    3.87476e+01    3.86881e+01    3.86139e+01    3.85593e+01    3.85086e+01    3.84594e+01    3.84188e+01    3.83739e+01    3.83365e+01    3.83006e+01    3.82633e+01    3.82285e+01    3.82050e+01    3.81608e+01    3.81414e+01    3.81171e+01    3.78400e+01    3.76658e+01    3.74935e+01    3.73415e+01    3.71459e+01    3.70194e+01    3.67908e+01    3.66945e+01    
1.01620e+03    3.88068e+01    3.88561e+01    3.88852e+01    3.88118e+01    3.87471e+01    3.86872e+01    3.86131e+01    3.85583e+01    3.85076e+01    3.84582e+01    3.84175e+01    3.83725e+01    3.83349e+01    3.82988e+01    3.82614e+01    3.82264e+01    3.82026e+01    3.81582e+01    3.81387e+01    3.81142e+01    3.78337e+01    3.76471e+01    3.74631e+01    3.73042e+01    3.71131e+01    3.70026e+01    3.67887e+01    3.66943e+01    
1.01640e+03    3.88079e+01    3.88558e+01    3.88846e+01    3.88112e+01    3.87466e+01    3.86864e+01    3.86124e+01    3.85576e+01    3.85067e+01    3.84572e+01    3.84164e+01    3.83712e+01    3.83335e+01    3.82972e+01    3.82597e+01    3.82244e+01    3.82005e+01    3.81558e+01    3.81360e+01    3.81112e+01    3.78251e+01    3.76348e+01    3.74486e+01    3.72887e+01    3.71004e+01    3.69963e+01    3.67880e+01    3.66942e+01    
1.01660e+03    3.88114e+01    3.88596e+01    3.88868e+01    3.88113e+01    3.87469e+01    3.86870e+01    3.86127e+01    3.85580e+01    3.85072e+01    3.84577e+01    3.84169e+01    3.83718e+01    3.83342e+01    3.82980e+01    3.82605e+01    3.82253e+01    3.82014e+01    3.81568e+01    3.81370e+01    3.81120e+01    3.78229e+01    3.76507e+01    3.74832e+01    3.73347e+01    3.71419e+01    3.70174e+01    3.67906e+01    3.66944e+01    
1.01680e+03    3.88120e+01    3.88610e+01    3.88866e+01    3.88099e+01    3.87456e+01    3.86852e+01    3.86111e+01    3.85560e+01    3.85050e+01    3.84553e+01    3.84141e+01    3.83686e+01    3.83306e+01    3.82942e+01    3.82562e+01    3.82205e+01    3.81962e+01    3.81508e+01    3.81304e+01    3.81046e+01    3.78001e+01    3.76213e+01    3.74515e+01    3.73025e+01    3.71162e+01    3.70043e+01    3.67889e+01    3.66943e+01    
1.01700e+03    3.88098e+01    3.88599e+01    3.88841e+01    3.88083e+01    3.87438e+01    3.86829e+01    3.86089e+01    3.85536e+01    3.85023e+01    3.84522e+01    3.84106e+01    3.83647e+01    3.83262e+01    3.82893e+01    3.82508e+01    3.82145e+01    3.81896e+01    3.81433e+01    3.81223e+01    3.80954e+01    3.77726e+01    3.75769e+01    3.73954e+01    3.72408e+01    3.70657e+01    3.69795e+01    3.67859e+01    3.66941e+01    
1.01720e+03    3.88083e+01    3.88593e+01    3.88821e+01    3.88074e+01    3.87429e+01    3.86817e+01    3.86078e+01    3.85523e+01    3.85009e+01    3.84505e+01    3.84088e+01    3.83626e+01    3.83239e+01    3.82868e+01    3.82479e+01    3.82113e+01    3.81862e+01    3.81394e+01    3.81180e+01    3.80906e+01    3.77582e+01    3.75511e+01    3.73610e+01    3.72017e+01    3.70342e+01    3.69648e+01    3.67842e+01    3.66940e+01    
1.01740e+03    3.88076e+01    3.88571e+01    3.88807e+01    3.88074e+01    3.87430e+01    3.86817e+01    3.86078e+01    3.85523e+01    3.85009e+01    3.84506e+01    3.84088e+01    3.83626e+01    3.83239e+01    3.82868e+01    3.82480e+01    3.82114e+01    3.81862e+01    3.81394e+01    3.81180e+01    3.80906e+01    3.77572e+01    3.75532e+01    3.73665e+01    3.72093e+01    3.70408e+01    3.69679e+01    3.67846e+01    3.66940e+01    
1.01760e+03    3.88057e+01    3.88532e+01    3.88775e+01    3.88052e+01    3.87403e+01    3.86778e+01    3.86027e+01    3.85457e+01    3.84917e+01    3.84369e+01    3.83911e+01    3.83421e+01    3.83028e+01    3.82681e+01    3.82342e+01    3.82021e+01    3.81810e+01    3.81385e+01    3.81202e+01    3.80958e+01    3.77823e+01    3.75888e+01    3.74076e+01    3.72526e+01    3.70747e+01    3.69838e+01    3.67865e+01    3.66941e+01    
1.01780e+03    3.88077e+01    3.88536e+01    3.88804e+01    3.88107e+01    3.87464e+01    3.86861e+01    3.86124e+01    3.85578e+01    3.85075e+01    3.84588e+01    3.84187e+01    3.83739e+01    3.83361e+01    3.82990e+01    3.82598e+01    3.82230e+01    3.81977e+01    3.81512e+01    3.81301e+01    3.81036e+01    3.77975e+01    3.76072e+01    3.74263e+01    3.72709e+01    3.70885e+01    3.69905e+01    3.67873e+01    3.66942e+01    
1.01800e+03    3.87873e+01    3.88352e+01    3.88559e+01    3.87860e+01    3.87077e+01    3.86326e+01    3.85519e+01    3.84941e+01    3.84466e+01    3.84103e+01    3.83849e+01    3.83525e+01    3.83241e+01    3.82925e+01    3.82564e+01    3.82225e+01    3.81996e+01    3.81557e+01    3.81365e+01    3.81118e+01    3.78118e+01    3.76114e+01    3.74187e+01    3.72550e+01    3.70715e+01    3.69794e+01    3.67745e+01    3.66705e+01    
1.01820e+03    3.87762e+01    3.88249e+01    3.88402e+01    3.87642e+01    3.86970e+01    3.86305e+01    3.85596e+01    3.85000e+01    3.84500e+01    3.84114e+01    3.83831e+01    3.83471e+01    3.83131e+01    3.82725e+01    3.82249e+01    3.81806e+01    3.81489e+01    3.80970e+01    3.80721e+01    3.80445e+01    3.78072e+01    3.76150e+01    3.74127e+01    3.72405e+01    3.70438e+01    3.69371e+01    3.67315e+01    3.66463e+01    
1.01840e+03    3.88007e+01    3.88503e+01    3.88787e+01    3.88066e+01    3.87429e+01    3.86836e+01    3.86041e+01    3.85504e+01    3.85029e+01    3.84596e+01    3.84247e+01    3.83840e+01    3.83486e+01    3.83112e+01    3.82700e+01    3.82315e+01    3.82047e+01    3.81572e+01    3.81354e+01    3.81089e+01    3.78242e+01    3.76238e+01    3.74259e+01    3.72582e+01    3.70710e+01    3.69772e+01    3.67809e+01    3.66940e+01    
1.01860e+03    3.88217e+01    3.88724e+01    3.89060e+01    3.88362e+01    3.87719e+01    3.87142e+01    3.86365e+01    3.85822e+01    3.85314e+01    3.84806e+01    3.84383e+01    3.83924e+01    3.83552e+01    3.83215e+01    3.82877e+01    3.82559e+01    3.82347e+01    3.81926e+01    3.81747e+01    3.81510e+01    3.78496e+01    3.76447e+01    3.74476e+01    3.72798e+01    3.70887e+01    3.69879e+01    3.67854e+01    3.66970e+01    
1.01880e+03    3.88324e+01    3.88865e+01    3.89136e+01    3.88407e+01    3.87767e+01    3.87175e+01    3.86422e+01    3.85893e+01    3.85393e+01    3.84886e+01    3.84461e+01    3.84000e+01    3.83626e+01    3.83286e+01    3.82945e+01    3.82623e+01    3.82409e+01    3.81983e+01    3.81801e+01    3.81560e+01    3.78490e+01    3.76442e+01    3.74487e+01    3.72818e+01    3.70899e+01    3.69865e+01    3.67739e+01    3.66720e+01    
1.01900e+03    3.88274e+01    3.88810e+01    3.89040e+01    3.88320e+01    3.87644e+01    3.87026e+01    3.86286e+01    3.85706e+01    3.85191e+01    3.84734e+01    3.84381e+01    3.83975e+01    3.83633e+01    3.83289e+01    3.82920e+01    3.82572e+01    3.82336e+01    3.81886e+01    3.81687e+01    3.81430e+01    3.78276e+01    3.76136e+01    3.74103e+01    3.72400e+01    3.70627e+01    3.69876e+01    3.67888e+01    3.66732e+01    
1.01920e+03    3.87997e+01    3.88511e+01    3.88554e+01    3.87762e+01    3.87083e+01    3.86484e+01    3.85690e+01    3.84947e+01    3.84339e+01    3.83928e+01    3.83681e+01    3.83360e+01    3.83076e+01    3.82755e+01    3.82386e+01    3.82038e+01    3.81803e+01    3.81354e+01    3.81155e+01    3.80900e+01    3.77813e+01    3.75620e+01    3.73506e+01    3.71739e+01    3.69926e+01    3.69168e+01    3.67198e+01    3.66095e+01    
1.01940e+03    3.87921e+01    3.88467e+01    3.88475e+01    3.87625e+01    3.86890e+01    3.86193e+01    3.85437e+01    3.84739e+01    3.84147e+01    3.83699e+01    3.83391e+01    3.83015e+01    3.82678e+01    3.82306e+01    3.81882e+01    3.81485e+01    3.81209e+01    3.80716e+01    3.80486e+01    3.80208e+01    3.77172e+01    3.74824e+01    3.72498e+01    3.70575e+01    3.68783e+01    3.68210e+01    3.66491e+01    3.65618e+01    
