                                             NORMALIZED SPECTRUM
               |-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
WAVELENGTH [A]    1 Myr          2 Myr          3 Myr          4 Myr          5 Myr          6 Myr          7 Myr          8 Myr          9 Myr          10 Myr         11 Myr         12 Myr         13 Myr        14 Myr         15 Myr         16 Myr          17 Myr        18 Myr         19 Myr         20 Myr
1.21825e+03    2.33700e-01    2.16200e-01    2.07900e-01    2.36200e-01    3.24400e-01    3.96600e-01    4.45000e-01    4.42200e-01    4.43300e-01    4.14600e-01    4.00600e-01    3.90100e-01    3.73700e-01    3.50700e-01    3.19000e-01    2.99000e-01    2.82900e-01    2.66700e-01    2.56500e-01    2.42900e-01    
1.21900e+03    2.70900e-01    2.44000e-01    2.35000e-01    2.75500e-01    3.73100e-01    4.61400e-01    5.15800e-01    5.13500e-01    5.13800e-01    4.84000e-01    4.69100e-01    4.57400e-01    4.38900e-01    4.13900e-01    3.79000e-01    3.57400e-01    3.39800e-01    3.20700e-01    3.09400e-01    2.94300e-01    
1.21975e+03    3.10800e-01    2.85000e-01    2.81300e-01    3.02900e-01    4.30800e-01    5.23900e-01    5.81700e-01    5.79100e-01    5.78000e-01    5.48200e-01    5.32500e-01    5.19500e-01    4.99600e-01    4.73500e-01    4.36900e-01    4.14200e-01    3.95400e-01    3.74300e-01    3.62600e-01    3.46600e-01    
1.22050e+03    3.65000e-01    3.41000e-01    3.33900e-01    3.69500e-01    4.91000e-01    5.82900e-01    6.41700e-01    6.38300e-01    6.35200e-01    6.06600e-01    5.90400e-01    5.76100e-01    5.55400e-01    5.29400e-01    4.92700e-01    4.69700e-01    4.49800e-01    4.27800e-01    4.16500e-01    4.00100e-01    
1.22125e+03    4.26800e-01    4.06200e-01    3.89200e-01    4.41200e-01    5.56000e-01    6.46100e-01    7.01200e-01    6.98700e-01    6.94900e-01    6.66300e-01    6.51000e-01    6.36300e-01    6.16200e-01    5.90800e-01    5.55000e-01    5.32600e-01    5.11300e-01    4.88900e-01    4.77600e-01    4.61200e-01    
1.22200e+03    4.55100e-01    4.25300e-01    4.29600e-01    4.99200e-01    6.00000e-01    6.98800e-01    7.53400e-01    7.53000e-01    7.48800e-01    7.20400e-01    7.06100e-01    6.91200e-01    6.71900e-01    6.47000e-01    6.12100e-01    5.90300e-01    5.68000e-01    5.45200e-01    5.34000e-01    5.17400e-01    
1.22275e+03    4.92200e-01    4.62000e-01    4.82000e-01    5.14400e-01    6.44900e-01    7.33500e-01    7.89600e-01    7.90300e-01    7.86000e-01    7.59200e-01    7.45300e-01    7.30300e-01    7.11600e-01    6.86800e-01    6.52200e-01    6.30900e-01    6.08600e-01    5.85400e-01    5.74000e-01    5.57600e-01    
1.22350e+03    5.55400e-01    5.31000e-01    5.52600e-01    5.81100e-01    6.94700e-01    7.65800e-01    8.12100e-01    8.13200e-01    8.08700e-01    7.83400e-01    7.70700e-01    7.56300e-01    7.38500e-01    7.15100e-01    6.82600e-01    6.62600e-01    6.41100e-01    6.18700e-01    6.07800e-01    5.92000e-01    
1.22425e+03    5.83200e-01    5.58000e-01    5.79600e-01    6.32400e-01    7.25600e-01    7.93500e-01    8.26300e-01    8.27600e-01    8.22900e-01    7.99000e-01    7.87800e-01    7.74200e-01    7.57600e-01    7.36200e-01    7.06600e-01    6.88300e-01    6.68100e-01    6.47100e-01    6.36900e-01    6.22300e-01    
1.22500e+03    6.04600e-01    5.80300e-01    6.14200e-01    6.61500e-01    7.43200e-01    7.98200e-01    8.22200e-01    8.23400e-01    8.17200e-01    7.94800e-01    7.85200e-01    7.72200e-01    7.56300e-01    7.37500e-01    7.11300e-01    6.95200e-01    6.75900e-01    6.56400e-01    6.47500e-01    6.33900e-01    
1.22575e+03    6.02700e-01    5.86600e-01    6.07700e-01    6.35200e-01    7.33600e-01    7.92800e-01    8.19700e-01    8.21700e-01    8.14600e-01    7.93600e-01    7.85000e-01    7.72200e-01    7.57500e-01    7.40900e-01    7.17500e-01    7.03100e-01    6.84800e-01    6.66700e-01    6.58500e-01    6.45700e-01    
1.22650e+03    6.15900e-01    6.19900e-01    6.48000e-01    6.79200e-01    7.51800e-01    8.00700e-01    8.21800e-01    8.22900e-01    8.15600e-01    7.95900e-01    7.87200e-01    7.74600e-01    7.61600e-01    7.46500e-01    7.25300e-01    7.12000e-01    6.94900e-01    6.77900e-01    6.70200e-01    6.57500e-01    
1.22725e+03    6.01000e-01    6.07600e-01    6.37900e-01    6.81800e-01    7.49700e-01    8.04600e-01    8.32300e-01    8.34700e-01    8.29200e-01    8.11100e-01    8.03200e-01    7.91700e-01    7.80600e-01    7.65900e-01    7.45500e-01    7.33000e-01    7.16900e-01    7.00600e-01    6.92900e-01    6.80900e-01    
1.22800e+03    6.16200e-01    6.02800e-01    6.49000e-01    6.91200e-01    7.66400e-01    8.12500e-01    8.43700e-01    8.47100e-01    8.43900e-01    8.27400e-01    8.20400e-01    8.10600e-01    8.01000e-01    7.86500e-01    7.66600e-01    7.54400e-01    7.39500e-01    7.23900e-01    7.16500e-01    7.05400e-01    
1.22875e+03    6.23500e-01    5.95200e-01    6.34900e-01    7.00200e-01    7.82100e-01    8.31500e-01    8.53600e-01    8.56700e-01    8.56400e-01    8.41000e-01    8.35100e-01    8.27700e-01    8.18600e-01    8.04100e-01    7.84300e-01    7.72100e-01    7.58700e-01    7.44400e-01    7.37600e-01    7.28100e-01    
