                                                   LOG (TOTAL) [ERG/SEC/A]
               |-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
WAVELENGTH [A]    1Myr             2Myr           3Myr             4Myr           5Myr            6Myr             7Myr           8Myr             9Myr            10Myr            11Myr          12Myr           13Myr           14Myr           15Myr          16Myr           17Myr           18Myr           19Myr           20Myr           30Myr           40Myr           50Myr           60Myr           70Myr           80Myr           90Myr          100Myr           200Myr           300Myr         400Myr          500Myr          600Myr          700Myr          800Myr          900Myr
91.000000       27.172710       27.310110       27.314730       38.546550       38.546550       38.546550       38.546550       38.546550       38.546550       38.546550       38.546550       38.546550       38.546550       38.546550       38.546550       38.546550       38.546550       38.546550       38.546550       38.546550       38.546550       38.546550       38.546550       38.546550       38.546550       38.546550       38.546550       38.546550       38.546550       38.546550       38.546550       38.546550       38.546550       38.546550       38.546550       38.546550    
94.000000       27.524230       27.665680       27.670700       38.576300       38.576300       38.576300       38.576300       38.576300       38.576300       38.576300       38.576300       38.576300       38.576300       38.576300       38.576300       38.576300       38.576300       38.576300       38.576300       38.576300       38.576300       38.576300       38.576300       38.576300       38.576300       38.576300       38.576300       38.576300       38.576300       38.576300       38.576300       38.576300       38.576300       38.576300       38.576300       38.576300    
96.000000       27.872860       28.016890       28.022230       38.603350       38.603350       38.603350       38.603350       38.603350       38.603350       38.603350       38.603350       38.603350       38.603350       38.603350       38.603350       38.603350       38.603350       38.603350       38.603350       38.603350       38.603350       38.603350       38.603350       38.603350       38.603350       38.603350       38.603350       38.603350       38.603350       38.603350       38.603350       38.603350       38.603350       38.603350       38.603350       38.603350    
98.000000       28.065070       28.211700       28.217310       38.629140       38.629140       38.629140       38.629140       38.629140       38.629140       38.629140       38.629140       38.629140       38.629140       38.629140       38.629140       38.629140       38.629140       38.629140       38.629140       38.629140       38.629140       38.629140       38.629140       38.629140       38.629140       38.629140       38.629140       38.629140       38.629140       38.629140       38.629140       38.629140       38.629140       38.629140       38.629140       38.629140    
100.00000       28.289990       28.439100       28.445010       38.647120       38.647120       38.647120       38.647120       38.647120       38.647120       38.647120       38.647120       38.647120       38.647120       38.647120       38.647120       38.647120       38.647120       38.647120       38.647120       38.647120       38.647120       38.647120       38.647120       38.647120       38.647120       38.647120       38.647120       38.647120       38.647120       38.647120       38.647120       38.647120       38.647120       38.647120       38.647120       38.647120    
102.00000       28.570700       28.722280       28.728510       38.658440       38.658440       38.658440       38.658440       38.658440       38.658440       38.658440       38.658440       38.658440       38.658440       38.658440       38.658440       38.658440       38.658440       38.658440       38.658440       38.658440       38.658440       38.658440       38.658440       38.658440       38.658440       38.658440       38.658440       38.658440       38.658440       38.658440       38.658440       38.658440       38.658440       38.658440       38.658440       38.658440    
104.00000       28.763550       28.917560       28.924100       38.656910       38.656910       38.656910       38.656910       38.656910       38.656910       38.656910       38.656910       38.656910       38.656910       38.656910       38.656910       38.656910       38.656910       38.656910       38.656910       38.656910       38.656910       38.656910       38.656910       38.656910       38.656910       38.656910       38.656910       38.656910       38.656910       38.656910       38.656910       38.656910       38.656910       38.656910       38.656910       38.656910    
106.00000       28.949630       29.106000       29.112860       38.658840       38.658840       38.658840       38.658840       38.658840       38.658840       38.658840       38.658840       38.658840       38.658840       38.658840       38.658840       38.658840       38.658840       38.658840       38.658840       38.658840       38.658840       38.658840       38.658840       38.658840       38.658840       38.658840       38.658840       38.658840       38.658840       38.658840       38.658840       38.658840       38.658840       38.658840       38.658840       38.658840    
108.00000       29.163630       29.322290       29.329480       38.662840       38.662840       38.662840       38.662840       38.662840       38.662840       38.662840       38.662840       38.662840       38.662840       38.662840       38.662840       38.662840       38.662840       38.662840       38.662840       38.662840       38.662840       38.662840       38.662840       38.662840       38.662840       38.662840       38.662840       38.662840       38.662840       38.662840       38.662840       38.662840       38.662840       38.662840       38.662840       38.662840    
110.00000       29.434190       29.595150       29.602710       38.662840       38.662840       38.662840       38.662840       38.662840       38.662840       38.662840       38.662840       38.662840       38.662840       38.662840       38.662840       38.662840       38.662840       38.662840       38.662840       38.662840       38.662840       38.662840       38.662840       38.662840       38.662840       38.662840       38.662840       38.662840       38.662840       38.662840       38.662840       38.662840       38.662840       38.662840       38.662840       38.662840    
114.00000       29.755690       29.921030       29.929250       38.660270       38.660270       38.660270       38.660270       38.660270       38.660270       38.660270       38.660270       38.660270       38.660270       38.660270       38.660270       38.660270       38.660270       38.660270       38.660270       38.660270       38.660270       38.660270       38.660270       38.660270       38.660270       38.660270       38.660270       38.660270       38.660270       38.660270       38.660270       38.660270       38.660270       38.660270       38.660270       38.660270    
118.00000       30.075670       30.245240       30.254190       38.667210       38.667210       38.667210       38.667210       38.667210       38.667210       38.667210       38.667210       38.667210       38.667210       38.667210       38.667210       38.667210       38.667210       38.667210       38.667210       38.667210       38.667210       38.667210       38.667210       38.667210       38.667210       38.667210       38.667210       38.667210       38.667210       38.667210       38.667210       38.667210       38.667210       38.667210       38.667210       38.667210    
121.00000       30.361900       30.534540       30.544090       38.668210       38.668210       38.668210       38.668210       38.668210       38.668210       38.668210       38.668210       38.668210       38.668210       38.668210       38.668210       38.668210       38.668210       38.668210       38.668210       38.668210       38.668210       38.668210       38.668210       38.668210       38.668210       38.668210       38.668210       38.668210       38.668210       38.668210       38.668210       38.668210       38.668210       38.668210       38.668210       38.668210    
125.00000       30.618130       30.794670       30.804980       38.670110       38.670110       38.670110       38.670110       38.670110       38.670110       38.670110       38.670110       38.670110       38.670110       38.670110       38.670110       38.670110       38.670110       38.670110       38.670110       38.670110       38.670110       38.670110       38.670110       38.670110       38.670110       38.670110       38.670110       38.670110       38.670110       38.670110       38.670110       38.670110       38.670110       38.670110       38.670110       38.670110    
127.00000       30.786860       30.965320       30.976090       38.671130       38.671130       38.671130       38.671130       38.671130       38.671130       38.671130       38.671130       38.671130       38.671130       38.671130       38.671130       38.671130       38.671130       38.671130       38.671130       38.671130       38.671130       38.671130       38.671130       38.671130       38.671130       38.671130       38.671130       38.671130       38.671130       38.671130       38.671130       38.671130       38.671130       38.671130       38.671130       38.671130    
