                                             NORMALIZED SPECTRUM
               |-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
WAVELENGTH [A]    1 Myr          2 Myr          3 Myr          4 Myr          5 Myr          6 Myr          7 Myr          8 Myr          9 Myr          10 Myr         11 Myr         12 Myr         13 Myr        14 Myr         15 Myr         16 Myr          17 Myr        18 Myr         19 Myr         20 Myr          30Myr          40Myr          50Myr           60Myr         70Myr           80Myr         90Myr           100Myr
1.01600e+03    9.94600e-01    9.98700e-01    1.00060e+00    1.00060e+00    1.00050e+00    1.00190e+00    1.00080e+00    1.00090e+00    1.00110e+00    1.00130e+00    1.00160e+00    1.00190e+00    1.00220e+00    1.00250e+00    1.00280e+00    1.00320e+00    1.00360e+00    1.00420e+00    1.00450e+00    1.00500e+00    1.01290e+00    1.05050e+00    1.08770e+00    1.11110e+00    1.09780e+00    1.04860e+00    1.00600e+00    1.00050e+00    
1.01620e+03    9.95400e-01    9.98600e-01    1.00010e+00    1.00010e+00    1.00010e+00    1.00030e+00    1.00010e+00    1.00010e+00    1.00020e+00    1.00020e+00    1.00020e+00    1.00030e+00    1.00030e+00    1.00040e+00    1.00040e+00    1.00050e+00    1.00060e+00    1.00060e+00    1.00070e+00    1.00080e+00    1.00200e+00    1.00770e+00    1.01340e+00    1.01700e+00    1.01500e+00    1.00740e+00    1.00090e+00    1.00010e+00    
1.01640e+03    9.94100e-01    9.97100e-01    9.99000e-01    9.99600e-01    9.99700e-01    9.99200e-01    9.99500e-01    9.99400e-01    9.99200e-01    9.99100e-01    9.98900e-01    9.98700e-01    9.98500e-01    9.98300e-01    9.98000e-01    9.97700e-01    9.97400e-01    9.96900e-01    9.96400e-01    9.95700e-01    9.83000e-01    9.79600e-01    9.79600e-01    9.80200e-01    9.84700e-01    9.92500e-01    9.99100e-01    9.99900e-01    
1.01660e+03    1.00130e+00    1.00390e+00    1.00270e+00    9.99800e-01    9.99800e-01    1.00030e+00    9.99700e-01    9.99600e-01    9.99500e-01    9.99300e-01    9.99200e-01    9.99000e-01    9.98800e-01    9.98700e-01    9.98500e-01    9.98200e-01    9.97900e-01    9.97300e-01    9.96700e-01    9.95400e-01    9.72600e-01    1.01300e+00    1.06110e+00    1.09310e+00    1.08750e+00    1.04360e+00    1.00540e+00    1.00050e+00    
1.01680e+03    1.00300e+00    1.00510e+00    1.00270e+00    9.98700e-01    9.98800e-01    9.97600e-01    9.98100e-01    9.97600e-01    9.97200e-01    9.96500e-01    9.95800e-01    9.95000e-01    9.94200e-01    9.93500e-01    9.92400e-01    9.91200e-01    9.90000e-01    9.87900e-01    9.86000e-01    9.82700e-01    9.24000e-01    9.46100e-01    9.85100e-01    1.01280e+00    1.02250e+00    1.01150e+00    1.00140e+00    1.00010e+00    
1.01700e+03    9.97600e-01    9.99100e-01    9.98600e-01    9.97300e-01    9.97500e-01    9.94000e-01    9.96300e-01    9.95300e-01    9.94400e-01    9.93100e-01    9.91800e-01    9.90200e-01    9.88600e-01    9.87100e-01    9.85000e-01    9.82700e-01    9.80500e-01    9.76600e-01    9.73400e-01    9.67900e-01    8.70700e-01    8.54500e-01    8.63700e-01    8.74200e-01    9.06000e-01    9.53700e-01    9.94300e-01    9.99500e-01    
1.01720e+03    9.93000e-01    9.93800e-01    9.95200e-01    9.96600e-01    9.96900e-01    9.92100e-01    9.95300e-01    9.94100e-01    9.92900e-01    9.91400e-01    9.89700e-01    9.87700e-01    9.85800e-01    9.83900e-01    9.81300e-01    9.78300e-01    9.75600e-01    9.70900e-01    9.66900e-01    9.60400e-01    8.44500e-01    8.05700e-01    7.96500e-01    7.96100e-01    8.39800e-01    9.20800e-01    9.90300e-01    9.99200e-01    
1.01740e+03    9.87900e-01    9.88800e-01    9.92500e-01    9.96600e-01    9.96900e-01    9.92200e-01    9.95300e-01    9.94100e-01    9.92900e-01    9.91400e-01    9.89700e-01    9.87700e-01    9.85700e-01    9.83800e-01    9.81200e-01    9.78300e-01    9.75500e-01    9.70700e-01    9.66700e-01    9.60100e-01    8.41800e-01    8.09100e-01    8.06700e-01    8.10900e-01    8.53400e-01    9.27600e-01    9.91100e-01    9.99200e-01    
1.01760e+03    9.79100e-01    9.80300e-01    9.86300e-01    9.93300e-01    9.93600e-01    9.82800e-01    9.82000e-01    9.76800e-01    9.68400e-01    9.55100e-01    9.42800e-01    9.33300e-01    9.29100e-01    9.32800e-01    9.41900e-01    9.49900e-01    9.56900e-01    9.62300e-01    9.65900e-01    9.66600e-01    8.90100e-01    8.78600e-01    8.88800e-01    8.99400e-01    9.25700e-01    9.63400e-01    9.95500e-01    9.99600e-01    
1.01780e+03    9.81900e-01    9.83400e-01    9.91200e-01    9.99600e-01    9.99700e-01    9.99800e-01    1.00180e+00    1.00240e+00    1.00390e+00    1.00640e+00    1.00860e+00    1.00990e+00    1.00970e+00    1.00750e+00    1.00330e+00    9.99300e-01    9.95600e-01    9.90900e-01    9.87200e-01    9.82500e-01    9.21500e-01    9.17400e-01    9.29000e-01    9.39300e-01    9.57000e-01    9.78900e-01    9.97400e-01    9.99800e-01    
